State,GeoFIPS,County,population,total_cases
West Virginia,54085,Ritchie County,9721,215
Idaho,16007,Bear Lake County,6050,213
Missouri,29179,Reynolds County,6254,212
Kansas,20007,Barber County,4472,211
Alaska,2220,Sitka,8647,210
Virginia,51125,Nelson County,14836,210
Vermont,50001,Addison County,36973,210
Nebraska,31031,Cherry County,5761,210
Virginia,51113,Madison County,13295,210
Georgia,13263,Talbot County,6272,210
Maine,23003,Aroostook County,67111,210
North Carolina,37029,Camden County,10710,208
Vermont,50019,Orleans County,26907,208
Kansas,20039,Decatur County,2871,207
South Dakota,46097,Miner County,2213,206
West Virginia,54093,Tucker County,6955,204
Texas,48379,Rains County,12159,203
California,6105,Trinity County,12535,203
Texas,48153,Floyd County,5837,202
Utah,49001,Beaver County,6580,202
Missouri,29199,Scotland County,4966,202
Kentucky,21023,Bracken County,8239,202
South Dakota,46095,Mellette County,2042,201
Texas,48351,Newton County,13746,201
Colorado,8095,Phillips County,4286,201
Texas,48081,Coke County,3370,201
Maine,23029,Washington County,31490,198
Michigan,26153,Schoolcraft County,8068,198
Oklahoma,40129,Roger Mills County,3656,197
Idaho,16071,Oneida County,4488,196
Washington,53043,Lincoln County,10740,196
New Mexico,35023,Hidalgo County,4240,196
Georgia,13301,Warren County,5251,196
Alaska,2130,Ketchikan Gateway,13918,195
Iowa,19003,Adams County,3645,194
North Dakota,38011,Bowman County,3076,193
Texas,48083,Coleman County,8397,193
Kentucky,21105,Hickman County,4421,192
North Carolina,37095,Hyde County,5230,191
California,6049,Modoc County,8777,191
Texas,48031,Blanco County,11702,191
Kentucky,21181,Nicholas County,7166,191
Maine,23023,Sagadahoc County,35634,190
Texas,48315,Marion County,9928,189
Virginia,51111,Lunenburg County,12086,189
West Virginia,54095,Tyler County,8746,188
Virginia,51181,Surry County,6474,188
Texas,48107,Crosby County,5779,188
North Dakota,38001,Adams County,2294,187
Virginia,51119,Middlesex County,10769,186
North Dakota,38013,Burke County,2100,185
Maine,23015,Lincoln County,34342,185
Colorado,8103,Rio Blanco County,6336,184
New Mexico,35028,Los Alamos County,19101,184
Nebraska,31017,Brown County,2973,184
Texas,48175,Goliad County,7584,183
Alaska,2290,Yukon-Koyukuk,5327,182
Kansas,20047,Edwards County,2849,182
Vermont,50015,Lamoille County,25300,181
Nebraska,31061,Franklin County,3023,181
Kentucky,21007,Ballard County,7979,181
Kansas,20065,Graham County,2492,181
Kansas,20129,Morton County,2667,181
Washington,53031,Jefferson County,31729,180
Nebraska,31135,Perkins County,2929,179
New Mexico,35019,Guadalupe County,4341,178
Oregon,41015,Curry County,22813,177
Texas,48151,Fisher County,3839,177
Michigan,26095,Luce County,6283,177
Texas,48333,Mills County,4921,176
Idaho,16015,Boise County,7634,175
South Dakota,46055,Haakon County,1918,175
Missouri,29171,Putnam County,4757,175
Virginia,51115,Mathews County,8802,174
North Dakota,38033,Golden Valley County,1769,174
Wyoming,56017,Hot Springs County,4555,173
North Dakota,38047,Logan County,1903,173
Virginia,51049,Cumberland County,9809,173
Idaho,16037,Custer County,4280,172
Vermont,50005,Caledonia County,30302,169
Texas,48169,Garza County,6578,169
Minnesota,27155,Traverse County,3308,168
Illinois,17069,Hardin County,3910,168
Oregon,41057,Tillamook County,26787,167
Texas,48295,Lipscomb County,3355,167
Arkansas,5013,Calhoun County,5277,167
Kansas,20075,Hamilton County,2607,167
Kansas,20203,Wichita County,2105,166
Kansas,20017,Chase County,2629,166
Kansas,20183,Smith County,3603,165
Texas,48079,Cochran County,2836,164
West Virginia,54015,Clay County,8632,161
California,6043,Mariposa County,17471,161
North Dakota,38037,Grant County,2374,160
Nebraska,31083,Harlan County,3401,159
Oregon,41037,Lake County,7879,157
South Dakota,46089,McPherson County,2407,157
Kansas,20025,Clark County,2005,154
West Virginia,54007,Braxton County,14089,153
Kansas,20187,Stanton County,1987,153
Oklahoma,40057,Harmon County,2664,151
North Carolina,37177,Tyrrell County,4131,151
Virginia,51036,Charles City County,6941,151
Oregon,41023,Grant County,7176,150
New Mexico,35059,Union County,4118,148
Kansas,20199,Wallace County,1503,148
Kansas,20083,Hodgeman County,1818,148
West Virginia,54017,Doddridge County,8406,147
Nebraska,31077,Greeley County,2356,147
Texas,48385,Real County,3478,144
North Dakota,38091,Steele County,1903,144
Nebraska,31015,Boyd County,1955,143
Missouri,29197,Schuyler County,4599,143
Texas,48095,Concho County,4276,142
West Virginia,54105,Wirt County,5830,141
Nebraska,31163,Sherman County,3038,141
Texas,48319,Mason County,4280,140
Kentucky,21165,Menifee County,6451,140
West Virginia,54071,Pendleton County,6997,139
Texas,48191,Hall County,3028,139
Pennsylvania,42053,Forest County,7279,139
Montana,30039,Granite County,3378,139
Idaho,16023,Butte County,2611,138
Texas,48413,Schleicher County,2895,137
Missouri,29103,Knox County,3947,137
West Virginia,54073,Pleasants County,7507,136
Nevada,32021,Mineral County,4514,136
Texas,48065,Carson County,6005,136
Georgia,13249,Schley County,5236,136
Texas,48267,Kimble County,4362,135
Colorado,8009,Baca County,3585,133
Colorado,8091,Ouray County,4833,132
North Dakota,38065,Oliver County,1952,131
Montana,30019,Daniels County,1747,131
Wyoming,56027,Niobrara County,2388,130
Mississippi,28055,Issaquena County,1308,130
Kansas,20089,Jewell County,2841,130
Illinois,17151,Pope County,4212,130
Texas,48275,Knox County,3653,128
North Dakota,38023,Divide County,2283,128
Texas,48403,Sabine County,10589,127
Nebraska,31087,Hitchcock County,2806,127
Georgia,13061,Clay County,2887,127
South Dakota,46069,Hyde County,1282,126
Washington,53059,Skamania County,11924,125
Nebraska,31063,Frontier County,2608,125
Idaho,16003,Adams County,4250,124
Washington,53019,Ferry County,7649,124
Texas,48197,Hardeman County,3922,124
Minnesota,27077,Lake of the Woods County,3758,123
Nebraska,31073,Gosper County,1996,122
Nebraska,31133,Pawnee County,2632,122
Montana,30011,Carter County,1238,122
Kansas,20105,Lincoln County,3023,122
Texas,48129,Donley County,3319,120
Hawaii,15007,Kauai County,72133,120
Texas,48327,Menard County,2139,119
Texas,48137,Edwards County,1928,119
Montana,30055,McCone County,1675,118
Montana,30079,Prairie County,1087,116
Oregon,41025,Harney County,7329,115
Colorado,8115,Sedgwick County,2303,115
Kansas,20097,Kiowa County,2516,114
Montana,30107,Wheatland County,2236,113
Virginia,51157,Rappahannock County,7252,111
Kansas,20141,Osborne County,3475,111
Montana,30059,Meagher County,1866,110
Nebraska,31071,Garfield County,1987,110
Georgia,13007,Baker County,3092,110
Virginia,51097,King and Queen County,7042,109
South Dakota,46021,Campbell County,1377,107
Texas,48207,Haskell County,5813,106
Nevada,32027,Pershing County,6666,106
California,6063,Plumas County,18804,104
Kansas,20019,Chautauqua County,3309,104
Kentucky,21201,Robertson County,2135,103
Colorado,8047,Gilpin County,6121,101
Virginia,51045,Craig County,5064,101
Colorado,8027,Custer County,4954,99
Montana,30051,Liberty County,2430,98
South Dakota,46119,Sully County,1392,98
Texas,48271,Kinney County,3767,97
Montana,30061,Mineral County,4316,94
Colorado,8023,Costilla County,3828,94
Kansas,20033,Comanche County,1748,94
Missouri,29129,Mercer County,3641,93
West Virginia,54013,Calhoun County,7254,92
Texas,48421,Sherman County,3079,91
Montana,30075,Powder River County,1716,90
Montana,30109,Wibaux County,1034,90
Kansas,20101,Lane County,1560,90
West Virginia,54101,Webster County,8285,89
Minnesota,27031,Cook County,5393,89
Missouri,29227,Worth County,2040,89
Kansas,20071,Greeley County,1227,89
Pennsylvania,42113,Sullivan County,6071,88
Nebraska,31149,Rock County,1360,88
Nebraska,31069,Garden County,1897,85
Texas,48461,Upton County,3671,84
Alaska,2070,Dillingham,5000,83
Alaska,2164,Lake and Peninsula,1587,83
South Dakota,46063,Harding County,1249,83
North Dakota,38083,Sheridan County,1349,83
Oklahoma,40025,Cimarron County,2153,82
Kansas,20207,Woodson County,3183,81
Nebraska,31057,Dundy County,1770,80
Virginia,51017,Bath County,4292,79
Colorado,8017,Cheyenne County,1876,78
Michigan,26083,Keweenaw County,2113,78
Texas,48243,Jeff Davis County,2252,74
Texas,48087,Collingsworth County,2962,73
Oregon,41063,Wallowa County,7081,72
Texas,48125,Dickens County,2249,71
Texas,48101,Cottle County,1389,70
Vermont,50009,Essex County,6250,69
Montana,30045,Judith Basin County,1952,68
New Mexico,35011,De Baca County,1781,68
Washington,53055,San Juan County,17128,66
Montana,30033,Garfield County,1268,66
Georgia,13125,Glascock County,2995,66
Texas,48023,Baylor County,3582,64
Texas,48119,Delta County,5349,64
South Dakota,46075,Jones County,928,63
Nevada,32029,Storey County,4029,63
Texas,48417,Shackelford County,3253,63
Kansas,20049,Elk County,2508,63
Texas,48011,Armstrong County,1892,61
Maine,23021,Piscataquis County,16800,61
Washington,53023,Garfield County,2247,60
New York,36041,Hamilton County,4434,60
Alaska,2198,Prince of Wales-Hyder,6422,59
Texas,48359,Oldham County,2131,58
Utah,49055,Wayne County,2690,58
Idaho,16025,Camas County,1127,56
Nebraska,31049,Deuel County,1825,55
Washington,53013,Columbia County,4059,53
California,6003,Alpine County,1101,53
New Mexico,35033,Mora County,4506,53
Nebraska,31113,Logan County,749,53
Idaho,16033,Clark County,852,52
Alaska,2016,Aleutians West,5723,51
Utah,49031,Piute County,1445,51
New Mexico,35003,Catron County,3578,49
Utah,49033,Rich County,2464,49
Vermont,50013,Grand Isle County,7090,47
Nebraska,31091,Hooker County,682,47
Georgia,13307,Webster County,2611,47
Nebraska,31085,Hayes County,916,46
Georgia,13239,Quitman County,2279,46
Alaska,2068,Denali,2059,44
Alaska,2105,Hoonah-Angoon,2151,44
Texas,48045,Briscoe County,1516,44
Texas,48431,Sterling County,1311,42
Washington,53069,Wahkiakum County,4426,41
North Dakota,38007,Billings County,919,41
Nebraska,31171,Thomas County,720,40
Georgia,13265,Taliaferro County,1608,40
Colorado,8061,Kiowa County,1383,38
Pennsylvania,42023,Cameron County,4492,37
Colorado,8079,Mineral County,776,37
Montana,30103,Treasure County,679,36
Colorado,8033,Dolores County,2074,36
Texas,48155,Foard County,1200,35
Texas,48235,Irion County,1522,35
Alaska,2013,Aleutians East,3515,33
Nebraska,31115,Loup County,618,33
Texas,48443,Terrell County,823,32
Texas,48433,Stonewall County,1362,31
Texas,48173,Glasscock County,1388,30
Texas,48311,McMullen County,749,30
Texas,48393,Roberts County,903,30
Virginia,51091,Highland County,2210,27
Texas,48263,Kent County,726,26
Texas,48345,Motley County,1234,26
Nebraska,31103,Keya Paha County,810,26
Texas,48447,Throckmorton County,1515,26
Oregon,41021,Gilliam County,1894,25
California,6091,Sierra County,2987,25
Nevada,32011,Eureka County,2003,25
Montana,30037,Golden Valley County,826,25
Oregon,41055,Sherman County,1708,24
Alaska,2195,Petersburg,3221,24
Colorado,8111,San Juan County,762,24
Colorado,8057,Jackson County,1399,22
Nebraska,31165,Sioux County,1187,22
Nebraska,31075,Grant County,660,21
Nebraska,31183,Wheeler County,805,20
North Dakota,38087,Slope County,763,19
Alaska,2275,Wrangell,2503,17
Nebraska,31007,Banner County,730,17
Nebraska,31117,McPherson County,492,17
Nebraska,31005,Arthur County,465,16
Nevada,32009,Esmeralda County,826,15
Nebraska,31009,Blaine County,476,15
Texas,48261,Kenedy County,442,13
Alaska,2100,Haines,2474,11
Alaska,2230,Skagway Municipality,1148,11
Utah,49009,Daggett County,980,11
Oregon,41069,Wheeler County,1366,10
Montana,30069,Petroleum County,513,10
Colorado,8053,Hinsdale County,811,10
New Mexico,35021,Harding County,655,6
Texas,48033,Borden County,648,5
Texas,48269,King County,277,2
Texas,48301,Loving County,152,1
Alaska,2060,Bristol Bay,877,0
Alaska,2282,Yakutat,604,0
